geo_level	geo_id	population
state	AK	735706.0
state	AL	5086768.0
state	AR	3049391.0
state	AZ	7378838.0
state	CA	39287377.0
state	CO	5862189.0
state	CT	3624508.0
state	DC	681294.0
state	DE	1021191.0
state	FL	22416077.0
state	GA	10940407.0
state	HI	1445235.0
state	IA	3210507.0
state	ID	1934262.0
state	IL	12694798.0
state	IN	6851073.0
state	KS	2947197.0
state	KY	4534824.0
state	LA	4611961.0
state	MA	7044056.0
state	MD	6206011.0
state	ME	1387817.0
state	MI	10077761.0
state	MN	5739445.0
state	MO	6191814.0
state	MS	2946779.0
state	MT	1116875.0
state	NC	10730404.0
state	ND	784841.0
state	NE	1978707.0
state	NH	1394868.0
state	NJ	9343809.0
state	NM	2120246.0
state	NV	3184612.0
state	NY	19852366.0
state	OH	11810293.0
state	OK	4028634.0
state	OR	4254293.0
state	PA	13018639.0
state	PR	3234309.0
state	RI	1101801.0
state	SC	5296225.0
state	SD	907428.0
state	TN	7066383.0
state	TX	30188424.0
state	UT	3392331.0
state	VA	8705170.0
state	VT	647106.0
state	WA	7816116.0
state	WI	5914872.0
state	WV	1778373.0
state	WY	582397.0
