y_delay_weeks	feature_missing_frac	feature_revision_frac	context	n_strata	total_series	mean_delta_rmse_fusion_minus_ar	weighted_delta_rmse_fusion_minus_ar	mean_frac_fusion_better_than_ar	weighted_frac_fusion_better_than_ar	is_robust
0	0.0	0.0	early_warning	12.0	592.0	0.0779443754078054	0.0777530949952008	0.1167687074829931	0.116554054054054	True
0	0.0	0.3	early_warning	12.0	592.0	0.0684987582580105	0.068367996808526	0.1421088435374149	0.1418918918918918	True
0	0.1	0.0	early_warning	12.0	495.0	0.0792233777748894	0.0793287229423804	0.1635073260073259	0.1595959595959595	True
0	0.1	0.3	early_warning	12.0	492.0	0.0723771994155764	0.0764657354101639	0.2106338238691179	0.2073170731707317	True
1	0.0	0.0	early_warning	12.0	592.0	0.0934930208703666	0.0932591549498331	0.1252721088435373	0.1249999999999999	True
1	0.0	0.3	early_warning	12.0	592.0	0.0846194274005537	0.0844354540929065	0.1455442176870748	0.1452702702702702	True
1	0.1	0.0	early_warning	12.0	519.0	0.0989465766735806	0.0990169563219891	0.1821703067191788	0.1753371868978805	True
1	0.1	0.3	early_warning	12.0	538.0	0.0960541250920925	0.0969128119996661	0.2061604416255578	0.2044609665427509	True
2	0.0	0.0	early_warning	12.0	592.0	0.1046608445906728	0.1043936307035371	0.1388435374149659	0.1385135135135134	True
2	0.0	0.3	early_warning	12.0	592.0	0.0961885168247451	0.0959673621947494	0.1456802721088435	0.1452702702702702	True
2	0.1	0.0	early_warning	12.0	566.0	0.1123395230336812	0.1117128722436941	0.2059862267447836	0.2031802120141342	True
2	0.1	0.3	early_warning	12.0	555.0	0.1087321198969308	0.1083347812414664	0.1879110257409946	0.1873873873873874	True
3	0.0	0.0	early_warning	12.0	592.0	0.11307314410121	0.1127762566477414	0.1490136054421768	0.1486486486486486	True
3	0.0	0.3	early_warning	12.0	592.0	0.1055734972815649	0.1053130487662569	0.1590816326530612	0.1587837837837837	True
3	0.1	0.0	early_warning	12.0	575.0	0.1263103474050034	0.1263632780248842	0.1922197168259841	0.1895652173913043	True
3	0.1	0.3	early_warning	12.0	568.0	0.1100681872358976	0.1095442320906106	0.1798550724637681	0.1795774647887324	True
3	0.2	0.0	early_warning	12.0	441.0	0.137934673200238	0.136954189978799	0.1852352435226963	0.1859410430839002	True
3	0.2	0.3	early_warning	12.0	383.0	0.0921074741764172	0.0979009543593817	0.2193491421411565	0.216710182767624	True
4	0.0	0.0	early_warning	12.0	592.0	0.1187729452621584	0.1184516212155055	0.1726190476190476	0.1722972972972972	True
4	0.0	0.3	early_warning	12.0	592.0	0.1132085658987746	0.1129158339342041	0.167517006802721	0.1672297297297297	True
4	0.1	0.0	early_warning	12.0	580.0	0.135350668787284	0.135181704732493	0.1720966312056737	0.1706896551724138	True
4	0.1	0.3	early_warning	12.0	576.0	0.1174614624352971	0.1168148269263983	0.165354609929078	0.1649305555555555	True
4	0.2	0.0	early_warning	12.0	532.0	0.1628746739526381	0.1577042557763442	0.1604916763453348	0.1616541353383458	True
4	0.2	0.3	early_warning	12.0	547.0	0.1226846696454273	0.1258779425729168	0.1637520458265139	0.1590493601462523	True
0	0.0	0.0	with_current_y	12.0	592.0	0.0602531919323639	0.0601068091090163	0.1151700680272108	0.1148648648648648	True
0	0.0	0.3	with_current_y	12.0	592.0	0.0516261728387112	0.0515416261914384	0.1439795918367346	0.143581081081081	True
0	0.1	0.0	with_current_y	12.0	432.0	0.0483001266237771	0.0485620020725133	0.1954502886194802	0.1921296296296296	True
0	0.1	0.3	with_current_y	12.0	385.0	0.050251772314515	0.0539050331923337	0.2366457698810639	0.2363636363636363	True
1	0.0	0.0	with_current_y	12.0	592.0	0.0779443754078054	0.0777530949952008	0.1167687074829931	0.116554054054054	True
1	0.0	0.3	with_current_y	12.0	592.0	0.0684987582580105	0.068367996808526	0.1421088435374149	0.1418918918918918	True
1	0.1	0.0	with_current_y	12.0	495.0	0.0792233777748894	0.0793287229423804	0.1635073260073259	0.1595959595959595	True
1	0.1	0.3	with_current_y	12.0	492.0	0.0723771994155764	0.0764657354101639	0.2106338238691179	0.2073170731707317	True
2	0.0	0.0	with_current_y	12.0	592.0	0.0934930208703666	0.0932591549498331	0.1252721088435373	0.1249999999999999	True
2	0.0	0.3	with_current_y	12.0	592.0	0.0846194274005537	0.0844354540929065	0.1455442176870748	0.1452702702702702	True
2	0.1	0.0	with_current_y	12.0	519.0	0.0989465766735806	0.0990169563219891	0.1821703067191788	0.1753371868978805	True
2	0.1	0.3	with_current_y	12.0	538.0	0.0960541250920925	0.0969128119996661	0.2061604416255578	0.2044609665427509	True
3	0.0	0.0	with_current_y	12.0	592.0	0.1046608445906728	0.1043936307035371	0.1388435374149659	0.1385135135135134	True
3	0.0	0.3	with_current_y	12.0	592.0	0.0961885168247451	0.0959673621947494	0.1456802721088435	0.1452702702702702	True
3	0.1	0.0	with_current_y	12.0	566.0	0.1123395230336812	0.1117128722436941	0.2059862267447836	0.2031802120141342	True
3	0.1	0.3	with_current_y	12.0	555.0	0.1087321198969308	0.1083347812414664	0.1879110257409946	0.1873873873873874	True
4	0.0	0.0	with_current_y	12.0	592.0	0.11307314410121	0.1127762566477414	0.1490136054421768	0.1486486486486486	True
4	0.0	0.3	with_current_y	12.0	592.0	0.1055734972815649	0.1053130487662569	0.1590816326530612	0.1587837837837837	True
4	0.1	0.0	with_current_y	12.0	575.0	0.1263103474050034	0.1263632780248842	0.1922197168259841	0.1895652173913043	True
4	0.1	0.3	with_current_y	12.0	568.0	0.1100681872358976	0.1095442320906106	0.1798550724637681	0.1795774647887324	True
4	0.2	0.0	with_current_y	12.0	441.0	0.137934673200238	0.136954189978799	0.1852352435226963	0.1859410430839002	True
4	0.2	0.3	with_current_y	12.0	383.0	0.0921074741764172	0.0979009543593817	0.2193491421411565	0.216710182767624	True
